Nama,Berat,Dimensi,Garansi,VGA,Tipe Penyimpanan,Processor,Penyimpanan,Ukuran Layar,Warna,RAM,Keyboard,Microsoft Office,Sistem Operasi,Brand,Tipe Layar,Harga
RAZER BLADE ADVANCE 18,5 kg,40 × 20 × 10 cm,RAZER 1 YEAR (SERVICE & SPAREPART),NVIDIA RTX4090,SSD,Intel Core i9,2TB,18 Inch,Black,16GB,0,0,Windows 11 Home,Razer,Non Touchscreen,94799000
RAZER BLADE ADVANCE 18,5 kg,40 × 20 × 10 cm,RAZER 1 YEAR (SERVICE & SPAREPART),NVIDIA RTX4090,SSD,Intel Core i9,2TB,18 Inch,Black,16GB,0,0,Windows 11 Home,Razer,Non Touchscreen,84899000
RAZER BLADE ADVANCE 16,5 kg,40 × 20 × 10 cm,RAZER 1 YEAR (SERVICE & SPAREPART),NVIDIA RTX4090,SSD,Intel Core i9,2TB,16 Inch,Black,16GB,0,0,Windows 11 Home,Razer,Non Touchscreen,66999000
RAZER BLADE ADVANCE 16,5 kg,40 × 20 × 10 cm,RAZER 1 YEAR (SERVICE & SPAREPART),NVIDIA RTX4080,SSD,Intel Core i9,1TB,16 Inch,Black,16GB,0,0,Windows 11 Home,Razer,Non Touchscreen,66999000
RAZER BLADE ADVANCE 16,5 kg,40 × 20 × 10 cm,RAZER 1 YEAR (SERVICE & SPAREPART),NVIDIA RTX4070,SSD,Intel Core i9,1TB,16 Inch,Black,8GB,0,0,Windows 11 Home,Razer,Non Touchscreen,51999000
RAZER BLADE ADVANCE 15,5 kg,40 × 20 × 10 cm,RAZER 1 YEAR (SERVICE & SPAREPART),NVIDIA RTX4070TI,SSD,Intel Core i7,1TB,16 Inch,Black,8GB,0,0,Windows 11 Home,Razer,Non Touchscreen,51999000
RAZER BLADE ADVANCE 15,5 kg,40 × 20 × 10 cm,RAZER 1 YEAR (SERVICE & SPAREPART),NVIDIA RTX3080TI,SSD,Intel Core i7,1TB,16 Inch,Black,16GB,0,0,Windows 11 Home,Razer,Non Touchscreen,53999000
RAZER BLADE ADVANCE 15,5 kg,40 × 20 × 10 cm,RAZER 1 YEAR (SERVICE & SPAREPART),NVIDIA RTX3070TI,SSD,Intel Core i7,1TB,16 Inch,Black,8GB,0,0,Windows 11 Home,Razer,Non Touchscreen,42499000
RAZER BLADE 14,5 kg,40 × 20 × 10 cm,RAZER 1 YEAR (SERVICE & SPAREPART),NVIDIA RTX3080TI,SSD,AMD Ryzen 9,1TB,14 Inch,Pink,16GB,0,0,Windows 11 Home,Razer,Non Touchscreen,42299000
RAZER BLADE 14,5 kg,40 × 20 × 10 cm,RAZER 1 YEAR (SERVICE & SPAREPART),NVIDIA RTX3070TI,SSD,AMD Ryzen 9,1TB,14 Inch,Pink,8GB,0,0,Windows 11 Home,Razer,Non Touchscreen,37999000
RAZER BLADE 14,5 kg,40 × 20 × 10 cm,RAZER 1 YEAR (SERVICE & SPAREPART),NVIDIA RTX3070TI,SSD,AMD Ryzen 9,1TB,14 Inch,Grey,8GB,0,0,Windows 11 Home,Razer,Non Touchscreen,37999000
RAZER BLADE 14,5 kg,40 × 20 × 10 cm,RAZER 1 YEAR (SERVICE & SPAREPART),NVIDIA RTX3070TI,SSD,AMD Ryzen 9,1TB,14 Inch,Black,8GB,0,0,Windows 11 Home,Razer,Non Touchscreen,37999000
MSI VECTOR GP68HX 13VH,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX4080,SSD,Intel Core i9,2TB,16 Inch,Black,32GB,0,0,Windows 11 Home,MSI,Non Touchscreen,47499000
MSI VECTOR GP68HX 12VH,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX4080,SSD,Intel Core i9,1TB,16 Inch,Black,16GB,0,0,Windows 11 Home,MSI,Non Touchscreen,36499000
MSI VECTOR GP66 12UGS,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX3070,SSD,Intel Core i7,1TB,16 Inch,Black,8GB,0,0,Windows 11 Home,MSI,Non Touchscreen,32999000
MSI TITAN GT77HX 13VI,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX4090,SSD,Intel Core i9,4TB,17 Inch,Black,16GB,0,0,Windows 11 Home,MSI,Non Touchscreen,87999000
MSI TITAN GT77HX 13VI,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX4080,SSD,Intel Core i9,4TB,17 Inch,Black,64GB,0,0,Windows 11 Home,MSI,Non Touchscreen,76999000
MSI TITAN GT77 13VI,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX4080,SSD,Intel Core i9,4TB,17 Inch,Black,64GB,0,0,Windows 11 Home,MSI,Non Touchscreen,78799000
MSI STEALTH 17M STUDIO A13VH,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX4090,SSD,Intel Core i9,4TB,17 Inch,Black,16GB,0,0,Windows 11 Home,MSI,Non Touchscreen,80999000
MSI STEALTH 17 STUDIO A13VH,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX4080,SSD,Intel Core i9,2TB,17 Inch,Black,64GB,0,0,Windows 11 Home,MSI,Non Touchscreen,54999000
MSI STEALTH 16 A13VG,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX4070,SSD,Intel Core i7,2TB,16 Inch,Blue,8GB,0,0,Windows 11 Home,MSI,Non Touchscreen,40399000
MSI STEALTH 15M B12UE,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX3060,SSD,Intel Core i7,1TB,16 Inch,Black,16GB,0,0,Windows 11 Home,MSI,Non Touchscreen,22999000
MSI STEALTH 15 A13VF,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX4060,SSD,Intel Core i7,1TB,16 Inch,Black,8GB,1,0,Windows 11 Home,MSI,Non Touchscreen,29399000
MSI STEALTH 14 A13VF,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX4060,SSD,Intel Core i7,1TB,16 Inch,Blue,8GB,0,0,Windows 11 Home,MSI,Non Touchscreen,31299000
MSI RAIDER GE78HX 13VH,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX4070,SSD,Intel Core i9,2TB,17 Inch,Black,8GB,0,0,Windows 11 Home,MSI,Non Touchscreen,44399000
MSI RAIDER GE78HX 13VH,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX4090,SSD,Intel Core i9,4TB,17 Inch,Black,16GB,0,0,Windows 11 Home,MSI,Non Touchscreen,70499000
MSI RAIDER GE78HX 13VH,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX4080,SSD,Intel Core i9,2TB,17 Inch,Black,64GB,0,0,Windows 11 Home,MSI,Non Touchscreen,53699000
MSI PRESTIGE 14 EVO A12UD,5 kg,40 × 20 × 10 cm,MSI 2 YEAR (SERVICE & SPAREPART),NVIDIA RTX3050TI,SSD,Intel Core i7,2TB,14 Inch,Grey,32GB,1,1,Windows 11 Home,MSI,Non Touchscreen,29999000
